"";"X";"Team";"mybet";"tipico";"bet365";"betsafe";"sportingbet";"date"
"1";4;"Darmstadt";0,322678704993675;0,336325018166732;0,343123455707726;0,338573839976394;"�";"2015-12-21"
"2";5;"Ingolstadt";0,103718155176538;0,0966934427229356;0,1258119337595;0,0865244257717451;"�";"2015-12-21"
"3";6;"Hertha BSC";0,00718838699243335;0,00773547541783485;0,00931940250070368;0,017304885154349;"�";"2015-12-21"
"4";7;"1. FC K�ln";0,0484018057490512;0,051569836118899;0,0444042119151175;0,0444982761111832;"�";"2015-12-21"
"5";8;"HSV";0,0345727183921794;0,0386773770891742;0,0290335231752692;0,03993435035619;"�";"2015-12-21"
"6";9;"Mainz 05";0,0279241187013757;0,0257849180594495;0,0148014039717058;0,0222491380555916;"�";"2015-12-21"
"7";10;"Augsburg";0,145205417247154;0,193386885445871;0,18871790063925;0,194679957986426;"�";"2015-12-21"
"8";11;"Stuttgart";0,254746346047638;0,309419016713394;0,318511224707594;0,278114225694895;"�";"2015-12-21"
"9";12;"Frankfurt";0,254746346047638;0,193386885445871;0,201299094015199;0,194679957986426;"�";"2015-12-21"
"10";13;"W. Bremen";0,254746346047638;0,193386885445871;0,201299094015199;0,204926271564659;"�";"2015-12-21"
"11";14;"Hannover";0,322678704993675;0,322311475743119;0,301948641022799;0,370818967593193;"�";"2015-12-21"
"12";15;"Hoffenheim";0,223392949611006;0,227513982877495;0,215677600730571;0,194679957986426;"�";"2015-12-21"
"14";17;"Schalke";NA;0,0022101358336671;0,00188247282433167;0,00444982761111832;"�";"2015-12-21"
"16";19;"Wolfsburg";NA;0,000773547541783485;0,000754117485071926;0,000778719831945706;"�";"2015-12-21"
"17";20;"Dortmund";NA;0,00051569836118899;0,000301827909858856;0,000778719831945706;"�";"2015-12-21"
"18";21;"FC Bayern";NA;0,000309419016713394;0,000100636128857085;0,000778719831945706;"�";"2015-12-21"
"19";4;"Darmstadt";0,342793753965756;0,335995917170034;0,376470877562377;0,369845212576408;"–";"2016-01-04"
