"","Date","Open","High","Low","Close","Volume","Adj.Close"
"1",2015-12-11,28.2,28.2,28.2,28.2,0,28.2
"2",2015-12-10,31.49,31.49,28.2,28.2,500,28.2
"3",2015-12-09,26.94,28.685,26.94,27.9,200,27.9
"4",2015-12-08,26.5,26.82,26.065,26.82,400,26.82
"5",2015-12-07,28.2,28.2,28.2,28.2,0,28.2
"6",2015-12-04,28,28.21,28,28.2,0,28.2
"7",2015-12-03,28,28.61,28,28.61,300,28.61
"8",2015-12-02,28.81,28.81,28.81,28.81,0,28.81
"9",2015-12-01,29.12,29.69,28.81,28.81,400,28.81
"10",2015-11-30,27.03,28.36,27.03,28.35,300,28.35
"11",2015-11-27,27.1,27.1,27.03,27.03,100,27.03
"12",2015-11-26,26.1,27.61,26.1,27.1,2100,27.1
"13",2015-11-25,25.8,25.8,25.8,25.8,0,25.8
"14",2015-11-24,25.3,25.5,25.3,25.5,100,25.5
"15",2015-11-23,24.3,24.3,23.72,24.3,2000,24.3
"16",2015-11-20,24.5,24.5,24.3,24.3,0,24.3
"17",2015-11-19,24.12,24.5,23.98,24.5,200,24.5
"18",2015-11-18,24,24,23.9,24,0,24
"19",2015-11-17,23.9,23.9,23.9,23.9,0,23.9
"20",2015-11-16,23.8,23.8,23.8,23.8,0,23.8
"21",2015-11-13,24.1,24.1,24,24,400,24
"22",2015-11-12,23.5,23.5,23.5,23.5,0,23.5
"23",2015-11-11,24,24,24,24,0,24
"24",2015-11-10,24,24,24,24,0,24
"25",2015-11-09,24.8,24.8,24.17,24.17,0,24.17
"26",2015-11-06,23.45,23.75,23.45,23.75,200,23.75
"27",2015-11-05,23.455,23.455,23.45,23.45,100,23.45
"28",2015-11-04,23.455,23.455,23.455,23.455,0,23.455
"29",2015-11-03,26.3,26.3,24.96,25,200,25
"30",2015-11-02,25.5,25.5,25,25,0,25
"31",2015-10-30,24.9,25.5,24.64,25.5,600,25.5
"32",2015-10-29,25.71,25.71,24.895,24.9,800,24.9
"33",2015-10-28,24.4,25.28,24.4,25.21,900,25.21
"34",2015-10-27,27,27,23.95,23.95,0,23.95
"35",2015-10-26,27.8,27.8,24.85,24.85,500,24.85
"36",2015-10-23,25.39,25.39,24.13,24.23,0,24.23
"37",2015-10-22,23.88,23.88,23.88,23.88,300,23.88
"38",2015-10-21,23.87,24.25,23.41,23.41,800,23.41
"39",2015-10-20,23.01,23.05,22.835,23,500,23
"40",2015-10-19,23.9,23.9,23,23,100,23
"41",2015-10-16,24.52,24.8,24,24,1700,24
"42",2015-10-15,26.52,26.52,24.62,24.62,200,24.62
"43",2015-10-14,26.17,26.76,25.5,25.98,400,25.98
"44",2015-10-13,27,27.71,25.43,25.43,2800,25.43
"45",2015-10-12,25.735,27.29,25.735,26.5,1800,26.5
"46",2015-10-09,23.65,26.08,23.65,25.45,400,25.45
"47",2015-10-08,23.75,23.91,23.59,23.59,500,23.59
"48",2015-10-07,22,23.44,22,22.37,2800,22.37
"49",2015-10-06,20.16,21.13,20.16,21.13,0,21.13
"50",2015-10-05,20.57,20.57,18.65,20.16,700,20.16
"51",2015-10-02,20.95,20.95,19.74,19.74,600,19.74
"52",2015-10-01,22,22,20.68,20.95,800,20.95
"53",2015-09-30,20.72,21.32,20.72,21.32,0,21.32
"54",2015-09-29,21.6,21.6,21.35,21.555,100,21.555
"55",2015-09-28,22.92,22.92,21.17,21.6,2800,21.6
