"";"Team";"mybet";"tipico";"bet365";"betsafe";"sportingbet"
"4";"Darmstadt";0,322678704993675;0,434782608695652;0,454545454545455;0,434782608695652;"–"
"5";"Ingolstadt";0,103718155176538;0,125;0,166666666666667;0,111111111111111;"–"
"6";"Hertha BSC";0,00718838699243335;0,01;0,0123456790123457;0,0222222222222222;"–"
"7";"1. FC Köln";0,0484018057490512;0,0666666666666667;0,0588235294117647;0,0571428571428571;"–"
"8";"HSV";0,0345727183921794;0,05;0,0384615384615385;0,0512820512820513;"–"
"9";"Mainz 05";0,0279241187013757;0,0333333333333333;0,0196078431372549;0,0285714285714286;"–"
"10";"Augsburg";0,145205417247154;0,25;0,25;0,25;"–"
"11";"Stuttgart";0,254746346047638;0,4;0,421940928270042;0,357142857142857;"–"
"12";"Frankfurt";0,254746346047638;0,25;0,266666666666667;0,25;"–"
"13";"W. Bremen";0,254746346047638;0,25;0,266666666666667;0,263157894736842;"–"
"14";"Hannover";0,322678704993675;0,416666666666667;0,4;0,476190476190476;"–"
"15";"Hoffenheim";0,223392949611006;0,294117647058824;0,285714285714286;0,25;"–"
"16";"Gladbach";NA;NA;0,00199600798403194;0,004;"–"
"17";"Schalke";NA;0,00285714285714286;0,00249376558603491;0,00571428571428571;"–"
"18";"Leverkusen";NA;NA;0,00199600798403194;0,004;"–"
"19";"Wolfsburg";NA;0,001;0,000999000999000999;0,001;"–"
"20";"Dortmund";NA;0,000666666666666667;0,00039984006397441;0,001;"–"
"21";"FC Bayern";NA;4e-04;0,00013331555792561;0,001;"–"
